YearValue,HydroID,ForestFraction
1990,361076,0.17007874
1991,361076,0.17007874
1992,361076,0.17007874
1993,361076,0.17007874
1994,361076,0.17007874
1995,361076,0.17007874
1996,361076,0.17007874
1997,361076,0.17007874
1998,361076,0.17007874
1999,361076,0.17007874
2000,361076,0.17007874
2001,361076,0.17007874
2002,361076,0.17007874
2003,361076,0.17007874
2004,361076,0.17007874
2005,361076,0.17007874
2006,361076,0.17007874
2007,361076,0.17007874
2008,361076,0.17007874
2009,361076,0.17007874
2010,361076,0.17007874
2011,361076,0.17007874
2012,361076,0.17007874
2013,361076,0.17007874
2014,361076,0.17007874
2015,361076,0.17007874
2016,361076,0.17007874
1990,361521,0.009984639
1991,361521,0.009984639
1992,361521,0.009984639
1993,361521,0.009984639
1994,361521,0.009984639
1995,361521,0.009984639
1996,361521,0.009984639
1997,361521,0.009984639
1998,361521,0.009984639
1999,361521,0.009984639
2000,361521,0.009984639
2001,361521,0.009984639
2002,361521,0.009984639
2003,361521,0.009984639
2004,361521,0.009984639
2005,361521,0.009984639
2006,361521,0.009984639
2007,361521,0.009984639
2008,361521,0.009984639
2009,361521,0.009984639
2010,361521,0.009984639
2011,361521,0.009984639
2012,361521,0.009984639
2013,361521,0.009984639
2014,361521,0.009984639
2015,361521,0.009984639
2016,361521,0.009984639
1990,362311,0
1991,362311,0
1992,362311,0
1993,362311,0
1994,362311,0
1995,362311,0
1996,362311,0
1997,362311,0
1998,362311,0
1999,362311,0
2000,362311,0
2001,362311,0
2002,362311,0
2003,362311,0
2004,362311,0
2005,362311,0
2006,362311,0
2007,362311,0
2008,362311,0
2009,362311,0
2010,362311,0
2011,362311,0
2012,362311,0
2013,362311,0
2014,362311,0
2015,362311,0
2016,362311,0
2017,361076,0.17007874
2018,361076,0.17007874
1990,361187,0
1991,361187,0
1992,361187,0
1993,361187,0
1994,361187,0
1995,361187,0
1996,361187,0
1997,361187,0
1998,361187,0
1999,361187,0
2000,361187,0
2001,361187,0
2002,361187,0
2003,361187,0
2004,361187,0
2005,361187,0
2006,361187,0
2007,361187,0
2008,361187,0
2009,361187,0
2010,361187,0
2011,361187,0
2012,361187,0
2013,361187,0
2014,361187,0
1990,361383,0
1991,361383,0
1992,361383,0
1993,361383,0
1994,361383,0
1995,361383,0
1996,361383,0
1997,361383,0
1998,361383,0
1999,361383,0
2000,361383,0
2001,361383,0
2002,361383,0
2003,361383,0
2004,361383,0
2005,361383,0
2006,361383,0
2007,361383,0
2008,361383,0
2009,361383,0
2010,361383,0
2011,361383,0
2012,361383,0
2013,361383,0
2014,361383,0
2015,361383,0
2016,361383,0
1990,362149,0
1991,362149,0
1992,362149,0
1993,362149,0
1994,362149,0
1995,362149,0
1996,362149,0
1997,362149,0
1998,362149,0
1999,362149,0
2000,362149,0
2001,362149,0
2002,362149,0
2003,362149,0
2004,362149,0
2005,362149,0
2006,362149,0
2007,362149,0
2008,362149,0
2009,362149,0
2010,362149,0
2011,362149,0
2012,362149,0
2013,362149,0
2014,362149,0
2015,362149,0
2016,362149,0
1990,361734,0.574647887
1991,361734,0.574647887
1992,361734,0.574647887
1993,361734,0.574647887
1994,361734,0.574647887
1995,361734,0.574647887
1996,361734,0.574647887
1997,361734,0.574647887
1998,361734,0.574647887
1999,361734,0.574647887
2000,361734,0.574647887
2001,361734,0.574647887
2002,361734,0.574647887
2003,361734,0.574647887
2004,361734,0.577464789
2005,361734,0.577464789
2006,361734,0.577464789
2007,361734,0.577464789
2008,361734,0.577464789
2009,361734,0.577464789
2010,361734,0.577464789
2011,361734,0.577464789
2012,361734,0.577464789
2013,361734,0.577464789
2014,361734,0.577464789
2015,361734,0.577464789
2016,361734,0.577464789
