HydroID,LengthKm
361076,1.224
361521,1.424
362311,3.304
361187,0.1
361383,2.19
362149,0.683
361734,7.067
361195,0.2
361971,6.17
362162,0.241
362536,5.77
361210,7.836
361759,1.007
362174,3.638
361226,0.283
362405,0.883
362175,8.498
362537,4.128
362009,0.241
361781,2.731
362751,0.883
362176,2.656
362416,1.349
362426,0.2
363172,1.607
362564,0.341
362985,0.824
362436,0.807
362778,0.1
362069,6.218
362992,1.207
362200,0.1
362779,10.605
363216,1.49
362589,0.783
363217,2.68
362454,6.277
363390,1.549
362070,0.4
363242,0.383
362212,1.283
362796,5.404
362484,0.666
363098,1.731
363596,0.424
363414,5.538
362497,0.483
363243,0.424
362498,0.2
362270,0.241
363116,2.156
362840,5.953
363618,2.414
362499,1.897
363437,1.166
363277,4.621
362855,9.474
363160,3.156
362500,4.911
363644,6.925
363278,3.038
363855,5.877
363449,4.246
362856,2.097
363279,4.604
364026,1.914
362511,2.356
363873,1.897
363687,0.2
362872,0.666
363310,6.811
363478,2.838
363703,5.528
364027,1.69
362520,3.621
363874,0.4
362599,0.783
364075,10.491
362600,2.897
364076,0.924
363875,1.066
363364,3.397
364251,1.341
362521,2.014
363512,0.441
364477,5.37
363876,0.1
363365,5.128
364279,7.618
364077,4.97
363537,3.904
362684,0.441
363555,2.314
363877,0.524
364539,0.2
363366,1.366
364092,1.549
362685,14.451
364315,2.756
363556,4.014
364334,7.184
364799,0.524
364335,2.131
364894,4.221
365131,2.638
364130,0.583
363585,1.549
364634,1.024
363878,3.114
364816,0.2
365305,0.383
364177,0.483
363904,0.1
364817,1.307
364362,10.788
364918,9.043
364178,0.524
365146,4.156
365569,4.073
363919,0.724
364837,3.138
364372,7.56
365306,1.541
364383,0.2
364931,0.141
364197,0.741
364384,4.77
363959,1.107
365570,2.631
365184,0.1
364198,0.2
365730,0.566
364385,0.2
365360,3.538
364986,0.241
364199,0.924
365752,5.011
364400,0.1
365753,1.124
365992,11.025
364987,2.556
365457,2.797
364417,0.241
365770,1.849
366187,1.49
365592,19.697
365286,0.883
366026,1.149
365469,0.1
364418,1.249
365479,1.466
366041,0.666
365287,5.446
365874,1.166
365637,0.666
364988,0.4
365638,0.783
366336,5.777
366069,2.014
366683,2.697
365914,3.98
366070,3.473
365001,13.737
366357,5.104
365639,2.056
365042,3.531
367305,2.331
365673,5.694
366085,4.121
366751,3.656
365703,0.1
367700,8.001
367966,0.141
368297,14.144
368272,4.446
367701,1.773
366771,0.1
367967,0.241
365715,0.1
365716,1.007
365717,3.873
368429,0.1
368430,0.141
368431,0.824
367829,3.263
368447,0.141
367830,0.1
367846,7.701
368467,7.35
