YearValue,HydroID,Rain
1990,361076,616.4240011
1991,361076,664.9643579
1992,361076,723.788017
1993,361076,756.3152322
1994,361076,1056.769666
1995,361076,814.4648966
1996,361076,676.7823062
1997,361076,683.8354965
1998,361076,848.8099684
1999,361076,1093.565461
2000,361076,1114.206128
2001,361076,1022.160438
2002,361076,972.8951414
2003,361076,800.8456931
2004,361076,712.0782716
2005,361076,560.4501536
2006,361076,925.2234415
2007,361076,833.5695114
2008,361076,982.4340787
2009,361076,853.5190591
2010,361076,723.2122194
2011,361076,732.5148701
2012,361076,847.7018802
2013,361076,886.5248227
2014,361076,1042.948624
2015,361076,756.2465969
2016,361076,769.2189351
1990,361521,626.1976029
1991,361521,676.2056747
1992,361521,734.3437904
1993,361521,766.3774869
1994,361521,1065.575517
1995,361521,816.6198471
1996,361521,685.5983217
1997,361521,692.1277391
1998,361521,851.3246612
1999,361521,1102.657404
2000,361521,1136.337811
2001,361521,1035.968838
2002,361521,979.2401097
2003,361521,805.0103846
2004,361521,716.5376899
2005,361521,559.5219445
2006,361521,932.8532249
2007,361521,833.222237
2008,361521,992.6346509
2009,361521,850.991405
2010,361521,726.501315
2011,361521,739.0218307
2012,361521,858.1039335
2013,361521,891.0591129
2014,361521,1077.029123
2015,361521,756.2923524
2016,361521,783.7727686
1990,362311,644.6206408
1991,362311,717.6484097
1992,362311,695.9426543
1993,362311,780.457348
1994,362311,1089.158516
1995,362311,831.4901967
1996,362311,692.0319442
1997,362311,695.7392926
1998,362311,862.6043751
1999,362311,1168.797775
2000,362311,1177.828555
2001,362311,1066.689423
2002,362311,1007.942588
2003,362311,831.3657677
2004,362311,733.6541848
2005,362311,578.9181178
2006,362311,959.5455592
2007,362311,852.20978
2008,362311,1000.30009
2009,362311,848.7955591
2010,362311,728.4382284
2011,362311,742.9641297
2012,362311,872.2045843
2013,362311,880.5452336
2014,362311,1069.724653
2015,362311,777.0128518
2016,362311,809.0876727
2017,361076,642.1452789
2018,361076,921.1326247
1990,361187,611.5085917
1991,361187,660.7463791
1992,361187,731.3042079
1993,361187,757.4724659
1994,361187,1054.896831
1995,361187,813.1667968
1996,361187,677.1305914
1997,361187,687.2663294
1998,361187,847.3427332
1999,361187,1092.920064
2000,361187,1104.240283
2001,361187,1013.520362
2002,361187,964.8039518
2003,361187,796.5461758
2004,361187,706.6938037
2005,361187,556.0189046
2006,361187,920.4204481
2007,361187,829.2699108
2008,361187,979.2976477
2009,361187,851.5131388
2010,361187,722.0008086
2011,361187,730.7377528
2012,361187,847.4289007
2013,361187,891.1861688
2014,361187,1046.090759
1990,361383,624.4536031
1991,361383,674.208816
1992,361383,734.5056043
1993,361383,765.7436903
1994,361383,1063.852422
1995,361383,816.0334247
1996,361383,684.9784232
1997,361383,691.8595802
1998,361383,851.0348584
1999,361383,1100.570095
2000,361383,1136.079616
2001,361383,1036.183529
2002,361383,979.4894901
2003,361383,805.1659447
2004,361383,715.7376392
2005,361383,558.8965147
2006,361383,931.8101344
2007,361383,832.4869716
2008,361383,992.358837
2009,361383,851.1072906
2010,361383,726.3746641
2011,361383,739.1529307
2012,361383,857.8094977
2013,361383,891.9492659
2014,361383,1076.009297
2015,361383,755.7436518
2016,361383,782.2644993
1990,362149,623.4958163
1991,362149,671.3301736
1992,362149,754.8537094
1993,362149,774.3174392
1994,362149,1062.699256
1995,362149,813.484316
1996,362149,692.070259
1997,362149,704.0766035
1998,362149,846.2241479
1999,362149,1099.360172
2000,362149,1125.340415
2001,362149,1024.06554
2002,362149,959.14061
2003,362149,790.7638779
2004,362149,707.3536485
2005,362149,545.7919441
2006,362149,930.5615008
2007,362149,819.6990065
2008,362149,987.2837849
2009,362149,846.6540233
2010,362149,725.8368899
2011,362149,734.7106709
2012,362149,859.1212907
2013,362149,899.8794162
2014,362149,1104.215896
2015,362149,748.8168693
2016,362149,792.9333777
1990,361734,637.8934208
1991,361734,690.7126773
1992,361734,718.5043613
1993,361734,767.1535535
1994,361734,1073.790911
1995,361734,820.3445447
1996,361734,687.4458636
1997,361734,687.2946707
1998,361734,855.7101539
1999,361734,1115.971788
2000,361734,1142.883266
2001,361734,1041.23282
2002,361734,988.5721064
2003,361734,810.2283223
2004,361734,722.5224704
2005,361734,569.1714003
2006,361734,939.8142927
2007,361734,840.1102225
2008,361734,992.122547
2009,361734,855.3880896
2010,361734,729.9589763
2011,361734,737.8549082
2012,361734,864.1847281
2013,361734,874.9825003
2014,361734,1070.068056
2015,361734,766.1191468
2016,361734,789.7397018
2015,361187,755.7550749
2016,361187,769.2662738
2017,361187,646.504351
2018,361187,923.7875289
1990,361195,621.3959038
1991,361195,670.5738771
1992,361195,730.1935013
1993,361195,762.0324931
1994,361195,1061.075506
1995,361195,815.5276464
1996,361195,681.8026863
1997,361195,688.6672911
1998,361195,850.065455
1999,361195,1097.646646
2000,361195,1127.548259
2001,361195,1030.715316
2002,361195,976.7914355
2003,361195,803.3289954
2004,361195,714.3877697
2005,361195,559.4593385
2006,361195,929.3680297
2007,361195,832.9307501
2008,361195,988.5525613
2009,361195,852.195255
2010,361195,725.1631617
2011,361195,736.5614366
2012,361195,853.8105565
1990,361971,627.3447008
1991,361971,677.8374275
1992,361971,745.612073
1993,361971,771.1646128
1994,361971,1065.825375
1995,361971,814.5843176
1996,361971,689.3509072
1997,361971,698.2265047
1998,361971,849.8342823
1999,361971,1103.82586
2000,361971,1135.615163
2001,361971,1033.84819
2002,361971,972.0062208
2003,361971,799.0411506
2004,361971,712.4739947
2005,361971,553.6424134
2006,361971,933.2188585
2007,361971,826.4599415
