YearValue,HydroID,Atm,Min,Man,Fix,Soil,Sd,Ps
1990,361076,9.608,28.111,21.379,2.909,2.108,0.514,0.314
1991,361076,9.608,28.295,20.318,2.888,2.108,0.589,0.251
1992,361076,9.608,26.482,21.514,2.917,2.108,0.665,0.188
1993,361076,9.608,24.06,19.861,2.868,2.108,0.741,0.126
1994,361076,9.608,23.725,20.199,2.89,2.108,0.816,0.063
1995,361076,9.608,24.271,21.772,2.83,2.108,0.892,0
1996,361076,9.608,26.361,22.81,2.864,2.108,0.951,0
1997,361076,9.608,28.129,20.774,3.105,2.108,1.01,0
1998,361076,9.608,28.528,20.219,3.18,2.108,1.069,0
1999,361076,9.608,28.211,18.997,3.081,2.108,1.127,0
2000,361076,9.608,30.623,18.406,3.155,2.108,1.186,0
2001,361076,9.345,30.18,17.4,3.304,2.108,1.119,0.083
2002,361076,9.098,27.987,18.774,3.275,2.108,1.051,0.166
2003,361076,8.398,27.52,19.207,3.378,2.108,0.983,0.249
2004,361076,8.336,27.864,19.44,3.223,2.108,0.915,0.332
2005,361076,8.059,26.707,19.678,3.102,2.108,0.847,0.414
2006,361076,8.948,23.227,20.757,3.138,2.108,0.881,0.376
2007,361076,8.848,23.33,20.538,2.512,2.108,0.914,0.338
2008,361076,7.91,23.153,21.247,2.482,2.108,0.948,0.3
2009,361076,8.18,19.611,23.803,2.867,2.108,0.982,0.262
2010,361076,7.713,21.434,22.843,3.266,2.096,1.015,0.224
2011,361076,7.456,22.444,22.281,2.374,2.096,0.953,0.187
2012,361076,7.482,25.096,20.734,2.35,2.096,0.891,0.149
2013,361076,8.753,23.207,21.424,2.351,2.096,0.829,0.112
2014,361076,7.753,25.41,18.686,2.308,2.096,0.766,0.075
2015,361076,7.539,24.829,22.218,2.51,2.096,0.704,0.037
2016,361076,7.073,24.866,22.251,2.513,2.096,0.642,0
1990,361521,39.193,133.727,101.702,13.84,10.028,5.63,0
1991,361521,39.193,134.602,96.656,13.738,10.028,5.204,0.419
1992,361521,39.193,125.978,102.345,13.879,10.028,4.779,0.837
1993,361521,39.193,114.457,94.482,13.643,10.028,4.354,1.256
1994,361521,39.193,112.862,96.089,13.747,10.028,3.929,1.675
1995,361521,39.193,115.461,103.572,13.462,10.028,3.503,2.094
1996,361521,39.193,125.053,108.206,13.584,10,3.801,2.113
1997,361521,39.193,133.44,98.55,14.729,10,4.098,2.132
1998,361521,39.193,135.334,95.917,15.087,10,4.395,2.151
1999,361521,39.193,133.827,90.119,14.618,10,4.693,2.17
2000,361521,39.193,145.27,87.313,14.967,10,4.99,2.189
2001,361521,38.112,143.17,82.545,15.674,10,5.094,2.113
2002,361521,37.178,132.764,89.06,15.534,10,5.197,2.037
2003,361521,34.229,130.549,91.116,16.027,10,5.301,1.961
2004,361521,34.066,129.536,90.375,14.985,9.8,5.404,1.886
2005,361521,32.876,124.161,91.481,14.423,9.8,5.508,1.81
2006,361521,36.568,107.98,96.498,14.591,9.8,5.729,1.73
2007,361521,36.022,108.461,95.482,11.679,9.8,5.95,1.651
2008,361521,32.264,107.635,98.778,11.537,9.8,6.171,1.571
2009,361521,33.298,91.171,110.661,13.329,9.8,6.392,1.492
2010,361521,31.444,99.969,106.542,15.233,9.776,6.613,1.412
2011,361521,30.357,104.683,103.921,11.074,9.776,5.831,1.177
